entidade,diferenca
Rio de Janeiro,5618529.719999999
São Paulo,3395814.4113999987
Bahia,1839878.3121
Sergipe,1234845.8789
Alagoas,1154867.6323600002
Rio Grande do Sul,978896.60732
Amazonas,956550.48434
Santa Catarina,675515.2503
Ceará,610867.309198
Espírito Santo,597801.6453
Pernambuco,584894.47155
Paraíba,553216.28923
Minas Gerais,518521.8878
Rio Grande do Norte,508314.60180000006
Paraná,114951.324517
Maranhão,52595.93800999998
Pará,14438.55058
Amapá,2307.7571482000003
Mato Grosso do Sul,730.88972
