beneficiario,ano,distribuicao_de_royalties,data,ano_fiscal
Depósitos Judiciais,2014,39331.0,2014-01-01,2014
Depósitos Judiciais,2015,22648.04721,2015-01-01,2015
Depósitos Judiciais,2016,21388.97128,2016-01-01,2016
Depósitos Judiciais,2017,17624.7965,2017-01-01,2017
Depósitos Judiciais,2018,23095.63475,2018-01-01,2018
Depósitos Judiciais,2019,25757.9393,2019-01-01,2019
Depósitos Judiciais,2020,28107.0893,2020-01-01,2020
Depósitos Judiciais,2021,219135.9056,2021-01-01,2021
Depósitos Judiciais,2022,279040.3716,2022-01-01,2022
Depósitos Judiciais,2023,229375.2265,2023-01-01,2023
Fundo Especial,2014,1480961.0,2014-01-01,2014
Fundo Especial,2015,1120349.316,2015-01-01,2015
Fundo Especial,2016,961771.1327,2016-01-01,2016
Fundo Especial,2017,1265514.46,2017-01-01,2017
Fundo Especial,2018,1944177.783,2018-01-01,2018
Fundo Especial,2019,1960166.971,2019-01-01,2019
Fundo Especial,2020,1886709.783,2020-01-01,2020
Fundo Especial,2021,3174289.814,2021-01-01,2021
Fundo Especial,2022,5049459.88,2022-01-01,2022
Fundo Especial,2023,4530939.39,2023-01-01,2023
União,2014,5252909.0,2014-01-01,2014
União,2015,3953413.055,2015-01-01,2015
União,2016,3386540.796,2016-01-01,2016
União,2017,4433079.539,2017-01-01,2017
União,2018,6812045.682,2018-01-01,2018
União,2019,6848272.697,2019-01-01,2019
União,2020,6491078.726,2020-01-01,2020
União,2021,11159774.04,2021-01-01,2021
União,2022,17779361.86,2022-01-01,2022
União,2023,16351379.21,2023-01-01,2023
Comando da Marinha,2014,2298019.0,2014-01-01,2014
Comando da Marinha,2015,1485120.265,2015-01-01,2015
Comando da Marinha,2016,1080244.461,2016-01-01,2016
Comando da Marinha,2017,1196232.363,2017-01-01,2017
Comando da Marinha,2018,1587825.384,2018-01-01,2018
Comando da Marinha,2019,1269815.054,2019-01-01,2019
Comando da Marinha,2020,903909.9669,2020-01-01,2020
Comando da Marinha,2021,1322578.493,2021-01-01,2021
Comando da Marinha,2022,1705661.307,2022-01-01,2022
Comando da Marinha,2023,1519415.782,2023-01-01,2023
Ministério da Ciência e Tecnologia,2014,1625591.0,2014-01-01,2014
Ministério da Ciência e Tecnologia,2015,1048084.929,2015-01-01,2015
Ministério da Ciência e Tecnologia,2016,761402.6226,2016-01-01,2016
Ministério da Ciência e Tecnologia,2017,843615.4642,2017-01-01,2017
Ministério da Ciência e Tecnologia,2018,1202226.086,2018-01-01,2018
Ministério da Ciência e Tecnologia,2019,1018988.011,2019-01-01,2019
Ministério da Ciência e Tecnologia,2020,711501.6306,2020-01-01,2020
Ministério da Ciência e Tecnologia,2021,929763.9729,2021-01-01,2021
Ministério da Ciência e Tecnologia,2022,1246780.006,2022-01-01,2022
Ministério da Ciência e Tecnologia,2023,1052483.056,2023-01-01,2023
Fundo Social,2014,1295621.0,2014-01-01,2014
Fundo Social,2015,1377017.063,2015-01-01,2015
Fundo Social,2016,1503093.748,2016-01-01,2016
Fundo Social,2017,2277866.38,2017-01-01,2017
Fundo Social,2018,3700174.652,2018-01-01,2018
Fundo Social,2019,3575452.445,2019-01-01,2019
Fundo Social,2020,2935225.335,2020-01-01,2020
Fundo Social,2021,5029320.116,2021-01-01,2021
Fundo Social,2022,6291067.803,2022-01-01,2022
Fundo Social,2023,5014629.486,2023-01-01,2023
Educação e Saúde,2014,33678.0,2014-01-01,2014
Educação e Saúde,2015,43190.79778,2015-01-01,2015
Educação e Saúde,2016,41799.96552,2016-01-01,2016
Educação e Saúde,2017,115365.3317,2017-01-01,2017
Educação e Saúde,2018,321819.5597,2018-01-01,2018
Educação e Saúde,2019,984017.1864,2019-01-01,2019
Educação e Saúde,2020,1940441.794,2020-01-01,2020
Educação e Saúde,2021,3878111.453,2021-01-01,2021
Educação e Saúde,2022,8535852.742,2022-01-01,2022
Educação e Saúde,2023,8764850.884,2023-01-01,2023
